SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
3IINFOTECH,3i Infotech Limited,EQ,22-APR-2005,10,1,INE748C01020,10
3MINDIA,3M India Limited,EQ,13-AUG-2004,10,1,INE470A01017,10
AARTIDRUGS,Aarti Drugs Ltd.,EQ,19-SEP-2003,10,1,INE767A01016,10
AARTIIND,Aarti Industries Ltd.,EQ,08-FEB-1995,5,1,INE769A01020,5
AARVEEDEN,Aarvee Denims & Exports Limited,EQ,21-NOV-2006,10,1,INE273D01019,10
ABAN,Aban Offshore Ltd.,EQ,29-MAR-1995,2,1,INE421A01028,2
ABB,ABB Limited,EQ,08-FEB-1995,2,1,INE117A01022,2
ABGSHIP,ABG Shipyard Limited,EQ,11-APR-2007,10,1,INE067H01016,10
ABIRLANUVO,Aditya Birla Nuvo Limited,EQ,13-SEP-1995,10,1,INE069A01017,10
ABSHEKINDS,Abhishek Industries Limited,EQ,21-FEB-2001,10,1,INE064C01014,10
ACC,ACC Limited,EQ,20-NOV-1996,10,1,INE012A01025,10
ACE,Action Construction Equipment Limited,EQ,26-SEP-2006,10,1,INE731H01017,10
ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997,1,1,INE423A01024,1
ADHUNIK,Adhunik Metaliks Limited,EQ,05-APR-2006,10,1,INE400H01019,10
ADLABSFILM,Adlabs Films Limited,EQ,10-JAN-2001,5,1,INE540B01015,5
ADORWELD,Ador Welding Limited,EQ,10-MAY-1995,10,1,INE045A01017,10
ADSL,Allied Digital Services Limited,EQ,25-JUL-2007,10,1,INE102I01019,10
ADVANTA,Advanta India Limited,EQ,19-APR-2007,10,1,INE517H01010,10
AEGISCHEM,Aegis Logistics Limited,EQ,03-APR-1996,10,1,INE208C01017,10
AFL,Accel Frontline Limited,EQ,30-OCT-2006,10,1,INE020G01017,10
AFTEK,Aftek Limited,EQ,16-AUG-2000,2,1,INE796A01023,2
AGRODUTCH,Agro Dutch Industries Limited,EQ,27-SEP-2000,10,1,INE135B01014,10
AHMEDFORGE,Ahmednagar Forgings Ltd,EQ,23-AUG-1995,10,1,INE425A01011,10
AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,10,1,INE212H01018,10
AIRDECCAN,Deccan Aviation Limited,EQ,12-JUN-2006,10,1,INE438H01019,10
